repo_id,repo_name,organization,category,subcategory,popularity_tier,stars,forks,watchers,open_issues,closed_issues,open_pull_requests,merged_pull_requests,contributors_count,total_commits,primary_language,secondary_languages,framework_dependency,license_type,first_commit_date,last_commit_date,repo_age_days,is_actively_maintained,monthly_downloads,monthly_active_users,release_count,avg_issue_response_hours,code_size_kb,has_documentation,has_ci_cd,has_docker_support,has_unit_tests,has_changelog,has_arxiv_paper,has_live_demo,has_api,has_cli,has_gui,readme_quality,community_sentiment_score,package_manager,minimum_python_version,hardware_requirement,cloud_integration,repo_health_score
R00206,optflow80,indie-dev-70,Large Language Models,Alignment & RLHF,niche,250,32,8,1,14,1,16,1,10,Python,Scala|Rust,JAX,LGPL-3.0,2019-10-04,2024-11-19,1873,False,144,10,42,168.8,1270,True,True,False,False,False,False,False,False,True,False,Average,0.79,docker-only,3.12+,CUDA GPU,Modal,44.9
R00207,QTC,research-lab-21,MLOps & Infrastructure,Hyperparameter Tuning,new,45,13,2,2,14,5,75,1,10,C++,None,PyTorch,MIT,2023-04-26,2025-04-04,709,False,103,10,4,226.1,240,True,False,False,False,False,False,False,False,False,False,Excellent,0.394,docker-only,N/A,AMD ROCm,None,21.9
R00208,meta-merge,research-lab-6,Graph & Geometric ML,Knowledge Graphs,niche,180,53,3,1,5,2,39,1,41,Go,None,PyTorch,MIT,2015-07-31,2023-01-08,2718,False,84,32,26,91.8,579,True,False,True,False,False,False,False,False,False,False,Average,0.569,npm,N/A,Apple Silicon,None,33.8
R00209,quant-lib,indie-dev-27,Generative AI,Diffusion Models,new,41,10,3,4,42,3,82,1,17,TypeScript,Go|R,TensorFlow,GPL-3.0,2015-12-12,2017-08-27,624,False,439,28,9,212.2,618,True,False,False,False,False,True,False,True,True,False,Average,0.318,cargo,N/A,AMD ROCm,Replicate,26.1
R00210,mergecpp,startup-42,Large Language Models,Agents & Tool Use,niche,500,29,28,5,21,0,0,4,33,Python,None,TensorFlow,Apache-2.0,2019-11-16,2020-02-02,78,False,2685,334,1,162.5,298,False,False,True,False,False,False,False,False,True,False,Poor,0.698,pip+conda,3.12+,Apple Silicon,Modal,10.2
R00211,grad-py,research-lab-33,Generative AI,VAEs,popular,7627,899,404,25,166,18,304,172,3453,Python,Mojo,PyTorch,Apache-2.0,2022-09-28,2023-10-31,398,False,35293,2086,3,299.1,137,True,True,True,True,True,True,False,True,False,False,Good,0.624,conda,3.8+,AMD ROCm,GCP,66.2
R00212,MVY,startup-49,Graph & Geometric ML,Knowledge Graphs,popular,4901,1481,124,35,444,6,75,2,61,Python,C++|R|Swift,TinyGrad,MIT,2016-03-30,2024-02-16,2879,False,1571,220,103,198.7,484,True,True,False,True,True,True,False,True,True,True,Missing,0.643,brew,3.9+,Apple Silicon,GCP,64.3
R00213,pipewave,research-lab-25,Data Engineering,Data Augmentation,niche,329,112,16,3,22,1,28,1,12,Python,None,PyTorch,GPL-3.0,2020-07-08,2021-03-17,252,False,398,40,1,150.8,36,False,False,True,True,False,False,False,False,True,False,Poor,0.892,docker-only,3.11+,Multi-GPU,Azure,20.3
R00214,neo-tune-craft,startup-1,Natural Language Processing,RAG Frameworks,new,29,4,0,15,110,3,65,2,25,Python,None,Keras,MIT,2023-08-24,2025-02-06,532,False,39,14,6,127.3,118,True,False,False,False,False,False,False,False,False,False,Missing,0.421,source-only,3.10+,CPU,GCP,23.6
R00215,codepulse,research-lab-1,MLOps & Infrastructure,Feature Stores,moderate,1082,339,53,3,34,2,41,4,60,C++,Rust|R,None/Custom,Apache-2.0,2015-06-11,2019-10-31,1603,False,6489,431,47,185.9,207,False,True,True,True,True,False,False,True,False,False,Good,0.993,brew,N/A,CPU+GPU,AWS,46.8
R00216,lite-vision,databricks,Audio & Speech,Speaker Diarization,niche,244,73,11,5,34,0,0,1,13,Python,None,JAX,Proprietary,2019-07-19,2020-12-14,514,False,998,77,6,63.3,56,False,True,False,True,True,False,False,True,False,False,Good,0.834,pip,3.9+,Multi-GPU,Azure,33.8
R00217,neo-doc,research-lab-16,Computer Vision,Image Classification,popular,15000,2306,854,107,583,68,1509,43,1447,Python,None,PyTorch,GPL-3.0,2016-11-30,2023-08-16,2450,False,131272,3525,38,88.0,858,True,True,True,True,False,False,True,True,False,False,Good,0.44,pip,3.9+,CPU+GPU,Azure,77.7
R00218,deep-model-cpp,CohereForAI,Large Language Models,Evaluation & Benchmarks,niche,241,42,15,2,4,1,9,1,10,Rust,Python|TypeScript|C++,None/Custom,GPL-3.0,2022-10-23,2024-12-18,787,False,3785,161,7,214.8,422,True,True,False,True,True,False,False,False,True,False,Average,0.831,npm,N/A,TPU,Multi-cloud,42.5
R00219,chat-stack,indie-dev-1,AI Safety & Interpretability,Red Teaming,popular,9305,1562,111,95,1162,17,335,30,403,C++,Swift|Scala|Rust,ONNX,AGPL-3.0,2016-12-15,2023-11-19,2530,False,26885,1765,36,171.5,1566,True,True,True,True,True,True,True,False,False,False,Average,0.567,cargo,N/A,Multi-GPU,None,75.9
R00220,ultra-model,indie-dev-67,Large Language Models,Alignment & RLHF,moderate,1588,341,21,13,162,2,50,14,434,C++,Java|Julia|Go,TensorFlow,Apache-2.0,2016-12-23,2018-11-07,684,False,2337,327,4,159.0,1373,False,False,True,False,False,True,False,False,True,False,Average,0.665,source-only,N/A,AMD ROCm,Replicate,16.8
R00221,search-rs,crewai-inc,Computer Vision,Face Recognition,popular,11800,771,524,73,520,12,231,31,145,TypeScript,None,TensorFlow,MIT,2016-02-06,2018-11-03,1001,False,39492,4848,14,124.1,288,True,True,False,True,False,False,True,True,False,False,Missing,0.616,source-only,N/A,CUDA GPU,Azure,72.4
R00222,cross-diff,salesforce-research,Natural Language Processing,Question Answering,moderate,3000,201,37,16,72,3,81,7,268,Python,Go|Julia,ONNX,AGPL-3.0,2016-03-31,2025-10-15,3485,True,19555,2647,24,10.8,86,False,False,True,False,False,True,False,False,False,False,Poor,0.645,pip+conda,3.8+,Apple Silicon,Multi-cloud,44.9
R00223,search-flow,startup-48,Graph & Geometric ML,Knowledge Graphs,niche,338,100,12,2,13,0,0,3,60,C,None,TensorFlow,MIT,2021-08-20,2022-07-21,335,False,2478,369,11,262.5,305,False,False,False,False,False,False,False,True,False,True,Average,0.827,pip+conda,N/A,Multi-GPU,Multi-cloud,17.9
R00224,vector-js,microsoft,MLOps & Infrastructure,Model Serving,niche,162,28,5,1,4,2,56,4,119,Python,Lua|Scala|Rust,CUDA,Apache-2.0,2020-05-19,2024-03-19,1400,False,1229,107,8,220.4,221,True,False,True,False,False,False,True,False,False,False,Average,0.604,docker-only,3.11+,Apple Silicon,Together AI,24.7
R00225,ZVC,startup-8,Graph & Geometric ML,Point Cloud Processing,new,34,2,0,11,118,0,0,1,25,Python,Rust|Java|Zig,PyTorch,GPL-3.0,2015-08-13,2021-06-20,2138,False,517,46,8,265.8,266,True,False,True,False,False,True,False,False,False,False,Good,0.353,source-only,3.9+,Multi-GPU,Hugging Face,25.3
R00226,quick-bench-cpp,indie-dev-35,Natural Language Processing,Sentiment Analysis,niche,367,44,19,7,18,1,23,1,22,Python,Swift,None/Custom,BSD-3-Clause,2018-11-15,2024-01-11,1883,False,827,115,16,58.4,43,False,True,False,False,False,False,False,True,False,False,Excellent,0.559,conda,3.10+,CUDA GPU,GCP,30.0
R00227,quant-kit27,nvidia,Generative AI,Creative AI,niche,500,51,15,15,127,2,13,2,31,R,Kotlin,PyTorch,Apache-2.0,2018-04-15,2023-01-15,1736,False,1825,105,17,112.7,1262,False,True,True,False,False,False,False,True,True,False,Good,0.786,brew,N/A,AMD ROCm,Modal,32.9
R00228,swift-train-js,crewai-inc,Large Language Models,Prompt Engineering,moderate,1305,270,76,29,414,4,49,7,115,R,None,PyTorch,Apache-2.0,2020-06-06,2022-08-06,791,False,7519,742,7,95.1,528,True,True,False,False,False,False,False,False,False,False,Good,0.584,source-only,N/A,CPU,Azure,37.9
R00229,agentstudio,research-lab-3,Large Language Models,Quantization,niche,439,95,14,12,145,0,0,1,17,C++,None,PyTorch,Apache-2.0,2022-12-06,2023-03-17,101,False,359,4,2,115.0,587,False,True,True,True,False,False,False,False,True,False,Average,0.732,source-only,N/A,AMD ROCm,None,31.7
R00230,codecraft,startup-6,Large Language Models,Multimodal Models,niche,343,25,16,1,3,0,0,5,28,C++,None,MLX,MIT,2019-12-16,2023-11-02,1417,False,997,84,33,192.7,750,False,True,False,False,False,True,True,False,False,False,Poor,0.539,cargo,N/A,Apple Silicon,AWS,33.7
R00231,rapid-guard,indie-dev-40,Computer Vision,Super Resolution,niche,178,44,10,0,0,2,44,1,11,Rust,R,TensorFlow,MIT,2017-03-07,2022-10-05,2038,False,740,79,28,219.2,4138,False,True,False,True,False,False,False,True,False,False,Missing,0.72,brew,N/A,CPU+GPU,None,35.5
R00232,bench-flow,research-lab-13,Large Language Models,Multimodal Models,niche,228,53,15,1,14,0,0,1,12,Python,Java|C++|Scala,None/Custom,MIT,2015-12-19,2017-08-28,618,False,256,21,3,185.3,77,True,False,False,False,False,False,True,True,False,False,Excellent,0.759,docker-only,3.10+,CPU+GPU,Modal,22.1
R00233,OHAZA,indie-dev-16,Large Language Models,Prompt Engineering,niche,500,62,15,5,62,2,28,2,49,Python,None,MLX,Apache-2.0,2022-03-08,2025-10-15,1317,True,2663,265,13,8.0,914,True,False,True,True,False,False,True,False,False,False,Poor,0.989,conda,3.11+,Multi-GPU,Hugging Face,55.2
R00234,SAIFS,indie-dev-21,Natural Language Processing,Machine Translation,moderate,1506,421,89,6,42,2,30,6,187,Python,Kotlin|R,MLX,Apache-2.0,2020-03-03,2021-10-08,584,False,22168,3122,5,129.6,835,True,True,False,False,False,True,True,False,False,False,Poor,0.732,docker-only,3.10+,Multi-GPU,Hugging Face,36.1
R00235,rapid-grad,meta-llama,Audio & Speech,Text-to-Speech,moderate,1627,328,34,10,72,1,21,5,21,Python,None,TensorFlow,Proprietary,2016-07-14,2022-06-05,2152,False,1258,90,26,129.2,808,True,True,False,False,False,False,False,False,False,False,Average,0.74,pip+conda,3.8+,CPU+GPU,Modal,47.5
R00236,auto-train,indie-dev-29,Natural Language Processing,Embeddings,moderate,3000,673,114,23,163,7,71,9,81,Python,C|Zig|Java,PyTorch,Apache-2.0,2018-06-30,2022-08-23,1515,False,4344,79,34,496.0,645,False,True,True,False,False,True,False,False,False,False,Excellent,0.874,pip+conda,3.11+,CPU,AWS,40.7
R00237,data-ml,ggerganov,Generative AI,Code Generation,moderate,1884,139,93,33,193,3,47,28,371,Swift,R|Python,None/Custom,AGPL-3.0,2020-04-05,2021-01-03,273,False,5240,489,7,216.3,7633,False,True,False,True,False,True,False,False,False,False,Good,0.659,cargo,N/A,AMD ROCm,Together AI,40.4
R00238,DSY,unsloth-ai,Natural Language Processing,RAG Frameworks,new,18,5,0,9,22,1,15,2,41,Swift,Rust|TypeScript|C,Flax,Apache-2.0,2023-01-10,2024-03-07,422,False,23,44,6,626.9,625,False,True,False,True,False,True,False,True,True,False,Excellent,0.595,npm,N/A,CPU,Modal,31.8
R00239,cross-code-box,indie-dev-23,Natural Language Processing,Sentiment Analysis,niche,209,38,11,1,9,0,0,1,10,Python,Julia|R|Swift,PyTorch,Apache-2.0,2020-07-15,2021-04-07,266,False,1405,101,6,197.7,1967,False,True,False,False,False,False,False,True,False,False,Good,0.636,conda,3.8+,AMD ROCm,Azure,24.0
R00240,tunecraft,pytorch,Computer Vision,Image Generation,niche,328,93,17,3,27,0,0,3,61,Python,C++|Go,Keras,BSD-3-Clause,2019-01-29,2021-05-23,845,False,1631,146,13,338.4,78,True,False,False,True,False,False,False,False,False,False,Good,0.74,brew,3.9+,Apple Silicon,GCP,39.7
R00241,micro-quant,research-lab-20,AI Safety & Interpretability,Fairness & Bias,niche,263,26,6,1,2,1,17,1,11,Python,Swift,ONNX,Custom,2016-07-05,2016-12-03,151,False,64,24,1,289.6,511,False,True,False,False,False,False,False,False,False,False,Good,0.544,source-only,3.10+,AMD ROCm,Together AI,18.0
R00242,YBN,indie-dev-55,Computer Vision,3D Vision,popular,9467,2080,676,99,260,20,422,26,541,Python,C,ONNX,AGPL-3.0,2018-07-12,2022-10-30,1571,False,7461,122,15,133.8,448,True,True,True,True,True,False,False,False,False,False,Good,0.708,pip,3.9+,AMD ROCm,Replicate,70.0
R00243,simple-grad-ops,startup-16,Graph & Geometric ML,Point Cloud Processing,popular,4674,735,370,51,196,15,103,25,454,Python,Mojo,TensorFlow,Unlicense,2018-03-11,2021-11-12,1342,False,1707,18,34,299.1,347,True,True,True,True,True,False,True,True,True,False,Good,0.33,docker-only,3.8+,CPU,GCP,64.8
R00244,hyper-bert-box,indie-dev-57,Audio & Speech,Speech Recognition,niche,287,77,9,1,3,1,21,2,12,Rust,None,PyTorch,BSD-3-Clause,2022-05-18,2024-10-29,895,False,504,43,9,252.6,401,False,False,False,True,False,False,True,False,True,False,Average,0.666,npm,N/A,Apple Silicon,None,25.0
R00245,smart-pipe-base,pinecone-io,Computer Vision,Super Resolution,moderate,2139,639,55,6,88,5,66,8,47,Python,None,TensorFlow,MIT,2018-03-23,2021-04-12,1116,False,3763,422,4,395.4,842,False,True,False,True,False,True,False,False,True,False,Average,0.791,docker-only,3.12+,Apple Silicon,Replicate,37.4
R00246,GNMI,indie-dev-56,Graph & Geometric ML,Geometric Deep Learning,new,26,2,1,5,43,0,0,1,10,Rust,Scala,TensorFlow,BSD-3-Clause,2022-07-13,2025-09-06,1151,True,235,6,33,11.1,248,False,False,True,False,False,False,False,False,False,True,Good,0.265,npm,N/A,TPU,Multi-cloud,39.1
R00247,doc-flow,startup-40,Data Engineering,Synthetic Data,niche,96,15,4,6,48,3,56,1,10,Python,Julia,None/Custom,MIT,2024-04-23,2024-07-27,95,False,374,33,0,235.9,471,True,True,True,False,False,False,False,True,False,False,Good,0.468,docker-only,3.10+,CPU,Together AI,29.2
R00248,gpt-base,startup-40,Natural Language Processing,Text Generation,new,13,3,0,9,89,0,0,1,22,Swift,R|Mojo,MLX,Apache-2.0,2015-12-10,2019-07-17,1315,False,89,46,10,137.7,4385,False,True,False,False,True,False,False,False,False,False,Excellent,0.205,conda,N/A,AMD ROCm,Hugging Face,26.7
R00249,flex-grad-ops,unsloth-ai,MLOps & Infrastructure,AutoML,niche,131,35,1,1,4,1,16,1,22,Python,Julia|Scala,PyTorch,Apache-2.0,2016-08-13,2017-11-23,467,False,496,43,7,115.1,24,False,True,False,False,False,False,False,True,False,False,Good,0.714,pip,3.12+,Multi-GPU,AWS,23.6
R00250,agent-box,research-lab-23,Data Engineering,Synthetic Data,viral,68858,21242,3470,559,6567,265,7373,411,10604,Swift,None,JAX,MIT,2022-11-09,2024-12-21,773,False,58008,2763,5,193.9,203,True,True,False,False,False,False,False,False,True,False,Good,0.798,source-only,N/A,TPU,Replicate,63.0
R00251,micro-text,startup-8,AI Safety & Interpretability,Red Teaming,niche,132,23,7,0,0,5,126,1,10,Python,None,PyTorch,MIT,2019-08-19,2023-06-11,1392,False,158,1,31,327.8,439,True,True,False,False,False,False,False,False,False,False,Good,0.87,pip,3.9+,Multi-GPU,Replicate,35.4
R00252,doc-forge,intel-analytics,Graph & Geometric ML,Graph Neural Networks,niche,455,149,36,9,120,0,0,5,41,Python,None,Keras,AGPL-3.0,2016-10-08,2019-08-26,1052,False,2142,62,23,168.0,128,False,False,False,True,False,False,False,False,False,False,Good,0.834,npm,3.10+,TPU,Replicate,35.7
R00253,diffrs,research-lab-2,Natural Language Processing,Text Generation,niche,201,34,4,2,28,1,24,2,30,Rust,None,CUDA,MIT,2022-04-04,2025-10-08,1283,True,299,31,18,22.2,790,False,True,False,False,False,True,False,False,True,False,Good,0.597,brew,N/A,TPU,GCP,48.4
R00254,graph-py,startup-11,Reinforcement Learning,Multi-Agent Systems,niche,158,31,5,0,0,1,10,1,46,Python,Mojo,PyTorch,BSD-3-Clause,2020-07-17,2022-10-07,812,False,101,3,9,122.4,547,True,True,True,True,False,False,False,True,False,False,Excellent,0.921,pip+conda,3.10+,CUDA GPU,Multi-cloud,37.2
R00255,benchwave,mlflow,Reinforcement Learning,Game AI,new,18,5,0,1,6,2,13,1,19,C,Scala|R,Triton,GPL-3.0,2021-03-31,2021-08-28,150,False,20,47,1,165.1,131,False,True,False,True,False,False,True,False,True,False,Good,0.552,source-only,N/A,TPU,Modal,29.5
R00256,text-forge,eleutherai,Generative AI,3D Generation,moderate,1905,585,133,24,260,4,53,6,116,Python,None,TensorFlow,Custom,2017-12-02,2019-04-24,508,False,52655,4290,4,168.7,208,True,True,False,False,False,False,False,False,False,False,Average,0.776,brew,3.9+,TPU,AWS,36.6
R00257,infer-ml,cohere-ai,MLOps & Infrastructure,Feature Stores,moderate,1982,665,65,35,129,3,67,25,597,Python,Swift,PyTorch,Apache-2.0,2020-04-10,2021-10-24,562,False,13849,627,6,298.7,545,False,True,False,False,False,True,True,False,True,False,Average,0.731,cargo,3.12+,Apple Silicon,AWS,28.8
R00258,FNCHY,mlflow,AI Safety & Interpretability,Watermarking,niche,258,78,9,1,11,1,17,1,12,Python,None,None/Custom,Apache-2.0,2024-12-13,2025-06-29,198,False,327,41,3,529.2,1369,False,False,False,True,True,False,False,False,False,False,Excellent,0.903,brew,3.12+,CPU,Hugging Face,22.0
R00259,GBZ,startup-24,Reinforcement Learning,Multi-Agent Systems,moderate,2671,838,162,28,285,5,58,11,94,Python,None,TensorFlow,Apache-2.0,2015-08-16,2024-01-17,3076,False,21706,1411,44,116.6,524,True,False,False,True,False,True,False,True,False,False,Excellent,0.505,docker-only,3.11+,TPU,Azure,50.5
R00260,multi-data-studio,indie-dev-65,Generative AI,GANs,moderate,1033,212,42,4,59,2,22,5,140,Python,C++|Zig,TensorFlow,Apache-2.0,2019-12-30,2024-06-05,1619,False,3841,358,6,126.9,58,True,False,True,False,False,False,False,False,False,False,Average,0.627,brew,3.10+,CPU,Replicate,26.4
R00261,next-merge,tencent-ailab,Reinforcement Learning,Robotics Control,new,31,7,1,7,82,4,71,1,12,Python,C++|Rust|C,PyTorch,Apache-2.0,2022-09-03,2024-06-09,645,False,227,33,11,72.8,431,True,False,False,True,False,True,False,True,False,False,Good,0.408,conda,3.8+,TPU,Replicate,37.6
R00262,lite-grad-core,startup-26,AI Safety & Interpretability,Guardrails,moderate,1641,288,41,18,253,2,31,12,270,R,None,PyTorch,MIT,2017-12-21,2021-11-18,1428,False,5092,299,37,99.8,85,False,False,False,True,False,True,True,True,False,False,Poor,0.632,brew,N/A,Multi-GPU,None,38.8
R00263,LWVWV,lightning-ai,Data Engineering,Synthetic Data,popular,10266,3575,269,68,528,35,766,47,536,Python,Lua,CUDA,LGPL-3.0,2016-05-27,2017-12-31,583,False,96145,12618,7,170.4,486,True,True,True,True,False,False,True,True,False,False,Excellent,0.768,brew,3.9+,CUDA GPU,Modal,68.8
R00264,bertcore,chromadb,Graph & Geometric ML,Knowledge Graphs,niche,273,34,13,1,12,0,0,1,10,Go,Python|Rust,ONNX,BSD-3-Clause,2018-04-22,2024-10-09,2362,False,282,12,9,113.2,880,False,False,False,False,False,False,False,False,False,False,Average,0.445,brew,N/A,CPU+GPU,Multi-cloud,16.6
R00265,quick-bert,indie-dev-20,Data Engineering,ETL for ML,new,15,4,0,8,115,5,32,1,12,Python,Scala|R,PyTorch,BSD-3-Clause,2021-03-16,2021-08-23,160,False,15,1,1,99.0,276,True,False,False,False,False,False,False,False,False,False,Good,0.423,pip+conda,3.11+,Apple Silicon,Hugging Face,20.2
R00266,servewave,research-lab-36,MLOps & Infrastructure,Pipeline Orchestration,niche,308,26,4,4,16,0,0,1,32,C++,TypeScript,ONNX,MIT,2023-05-27,2023-09-22,118,False,931,109,0,142.8,171,True,False,False,True,True,True,False,True,True,False,Poor,0.592,conda,N/A,CPU,Hugging Face,28.7
R00267,modelwave,research-lab-3,MLOps & Infrastructure,Model Serving,niche,153,32,3,1,12,2,46,1,20,Zig,None,None/Custom,AGPL-3.0,2017-07-06,2023-01-18,2022,False,64,35,28,102.2,178,True,True,False,False,False,False,False,True,False,False,Excellent,0.735,conda,N/A,CPU,Together AI,44.6
R00268,quick-data,startup-42,Large Language Models,Fine-tuning Tools,moderate,1430,189,109,19,48,2,57,6,83,Python,Zig|C,TensorFlow,LGPL-3.0,2017-04-21,2021-06-10,1511,False,1312,39,19,137.6,473,True,True,False,True,False,False,False,True,False,False,Good,0.747,docker-only,3.8+,CUDA GPU,Hugging Face,54.9
R00269,infer-stack54,startup-25,MLOps & Infrastructure,Feature Stores,niche,443,47,8,8,100,0,0,1,17,C,None,Triton,Apache-2.0,2019-10-23,2024-07-11,1723,False,783,77,15,103.4,2207,False,False,False,False,False,False,True,True,False,False,Good,0.777,pip,N/A,TPU,Azure,21.5
R00270,UWZ,indie-dev-47,Generative AI,VAEs,niche,246,29,7,7,77,1,10,1,30,Java,None,PyTorch,Apache-2.0,2019-07-05,2025-10-15,2294,True,464,35,34,15.8,2368,False,False,False,True,False,False,False,False,False,False,Good,0.554,pip+conda,N/A,CPU+GPU,Multi-cloud,49.8
R00271,deep-gpt-box,startup-5,Audio & Speech,Audio Classification,viral,43299,2889,2281,164,499,69,499,541,5647,Java,Go|TypeScript|Rust,JAX,Apache-2.0,2023-01-23,2025-03-20,787,False,58992,8112,7,167.4,320,True,True,True,False,True,False,False,True,False,False,Average,0.611,source-only,N/A,CPU+GPU,None,62.8
R00272,DBYU,indie-dev-16,Computer Vision,Image Classification,new,32,6,2,0,0,3,27,1,37,Python,Scala|Mojo|Lua,MLX,GPL-3.0,2021-06-02,2025-08-19,1539,True,1073,148,7,10.0,205,False,False,False,True,False,False,False,False,False,False,Good,0.738,source-only,3.9+,AMD ROCm,Modal,30.4
R00273,super-bench,wandb,Data Engineering,Data Labeling,new,32,10,0,4,19,3,70,3,38,Python,C|Kotlin|Scala,JAX,AGPL-3.0,2015-09-12,2020-07-17,1770,False,18,16,31,156.4,714,False,False,False,False,False,False,False,True,False,False,Good,0.48,conda,3.12+,Multi-GPU,Multi-cloud,23.6
R00274,mergeml,indie-dev-34,Large Language Models,Agents & Tool Use,niche,114,36,5,1,6,3,47,1,22,Python,Rust|C,PyTorch,Apache-2.0,2016-05-01,2023-02-28,2494,False,230,27,30,277.2,992,False,True,False,False,True,False,True,False,False,False,Poor,0.838,conda,3.8+,TPU,Together AI,33.9
R00275,deep-gpt-flow,indie-dev-19,AI Safety & Interpretability,Guardrails,new,32,5,0,10,78,3,71,3,25,Python,None,ONNX,AGPL-3.0,2021-05-06,2023-12-18,956,False,361,13,12,83.1,3498,False,True,False,False,False,False,False,False,False,False,Good,0.369,brew,3.8+,AMD ROCm,None,28.2
R00276,dyna-serve,research-lab-21,Natural Language Processing,Chatbot Frameworks,niche,189,36,4,3,26,4,90,1,20,C++,None,PyTorch,Proprietary,2023-12-06,2024-11-16,346,False,534,24,3,100.1,1233,False,False,False,False,False,False,True,False,False,False,Good,0.542,cargo,N/A,CUDA GPU,Modal,11.7
R00277,omni-rl,indie-dev-42,Graph & Geometric ML,Point Cloud Processing,new,15,4,0,15,220,0,0,1,25,Python,Mojo,JAX,Apache-2.0,2021-08-09,2021-12-09,122,False,96,5,0,313.8,328,True,True,True,True,False,True,False,True,True,False,Good,0.345,docker-only,3.8+,CPU,Replicate,39.5
R00278,lite-infer,indie-dev-6,Data Engineering,Synthetic Data,new,12,2,0,1,3,1,24,3,75,Python,Swift,JAX,Apache-2.0,2019-03-19,2020-08-25,525,False,24,7,7,142.5,117,True,True,False,True,True,False,False,True,False,False,Excellent,0.45,npm,3.12+,CPU+GPU,None,43.1
R00279,OCUQ,indie-dev-35,MLOps & Infrastructure,Feature Stores,niche,500,54,12,4,37,1,15,3,42,TypeScript,C|Swift,PyTorch,Unlicense,2021-01-22,2022-01-31,374,False,3617,518,4,198.5,65,False,False,False,True,True,False,False,True,False,False,Poor,0.749,docker-only,N/A,CUDA GPU,AWS,23.3
R00280,rl-craft,lightning-ai,Computer Vision,OCR,popular,7056,993,333,174,724,29,848,47,2362,Go,None,CUDA,LGPL-3.0,2019-06-08,2020-11-22,533,False,4741,530,6,174.6,108,True,True,False,False,False,False,False,False,True,False,Good,0.777,brew,N/A,CUDA GPU,Hugging Face,51.4
R00281,next-train,indie-dev-61,Natural Language Processing,Chatbot Frameworks,niche,474,93,22,1,4,0,0,8,138,Python,Lua|Mojo|Swift,None/Custom,Apache-2.0,2015-01-18,2025-03-28,3722,False,2360,167,131,114.9,851,False,False,True,True,False,False,False,True,False,False,Good,0.465,conda,3.8+,CUDA GPU,Modal,34.7
R00282,next-pipe-core,startup-10,Natural Language Processing,Named Entity Recognition,moderate,766,207,9,6,83,1,23,3,12,Python,None,TensorFlow,MIT,2015-03-23,2023-10-23,3136,False,1753,136,43,555.2,443,False,True,False,True,False,True,False,False,False,False,Good,0.481,conda,3.11+,CPU+GPU,None,46.2
R00283,PFRGV,research-lab-4,Graph & Geometric ML,Geometric Deep Learning,niche,226,24,10,2,4,1,11,1,10,Rust,None,PyTorch,Proprietary,2016-12-19,2017-10-12,297,False,548,37,2,162.9,3774,False,False,False,True,False,True,False,False,False,False,Poor,0.997,pip+conda,N/A,CPU,AWS,18.7
R00284,smart-eval-cpp,indie-dev-59,Computer Vision,Super Resolution,moderate,1333,213,22,23,131,1,17,5,195,Python,Go|Rust|Julia,MLX,Apache-2.0,2020-07-22,2022-08-31,770,False,34278,3979,4,103.8,1426,True,True,False,False,False,False,False,False,False,False,Good,0.715,conda,3.10+,Apple Silicon,GCP,34.7
R00285,simple-bench,startup-24,Natural Language Processing,Chatbot Frameworks,niche,144,22,10,10,32,2,10,1,22,Python,Mojo|Rust,Keras,Apache-2.0,2022-01-09,2023-12-24,714,False,389,36,9,204.5,261,True,True,False,False,True,False,True,False,False,False,Poor,0.739,npm,3.8+,Multi-GPU,AWS,34.8
R00286,visionjs,pytorch,Graph & Geometric ML,Molecular ML,popular,11954,2683,760,202,2041,27,223,129,1678,Python,Kotlin|C++,ONNX,Apache-2.0,2016-02-22,2023-10-28,2805,False,13302,1825,49,122.4,1934,True,True,True,True,True,False,False,True,False,False,Excellent,0.583,cargo,3.10+,AMD ROCm,GCP,84.1
R00287,open-opt,startup-22,Computer Vision,Medical Imaging,niche,218,41,5,1,3,0,0,1,16,Swift,Go|Julia|Java,TensorFlow,GPL-3.0,2024-06-05,2025-01-19,228,False,443,17,1,144.2,2922,True,True,True,True,False,False,False,True,False,False,Excellent,0.665,docker-only,N/A,TPU,Hugging Face,38.8
R00288,turbo-llm-stack,vllm-project,Graph & Geometric ML,Knowledge Graphs,popular,9180,1686,616,203,758,15,425,91,1431,Go,Kotlin,PyTorch,Custom,2017-08-30,2023-06-07,2107,False,9179,1297,13,341.8,115,True,True,True,True,True,False,True,False,False,False,Good,0.873,pip+conda,N/A,Apple Silicon,Hugging Face,75.1
R00289,data-core,axolotl-ai,Natural Language Processing,Embeddings,new,34,3,2,7,49,5,60,1,15,Python,None,PyTorch,BSD-3-Clause,2015-01-16,2022-04-15,2646,False,393,57,60,261.7,276,False,True,False,True,True,False,False,True,True,True,Good,0.711,source-only,3.12+,CUDA GPU,AWS,43.9
R00290,ultra-pipe,axolotl-ai,Reinforcement Learning,Robotics Control,moderate,1623,542,41,48,373,1,23,20,188,C++,Go|TypeScript|Mojo,PyTorch,LGPL-3.0,2024-12-05,2025-05-18,164,False,3819,128,0,65.3,66,False,True,False,True,False,True,False,True,True,False,Average,0.738,pip+conda,N/A,AMD ROCm,GCP,34.1
